"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2020-08-07,"BC","Interior","Okanagan",1,2.29
2020-08-07,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-08-07,"BC","Northern","All",0,0.71
2020-08-07,"BC","Northern","Northeast",0,0
2020-08-07,"BC","Northern","Northern Interior",0,0
2020-08-07,"BC","Northern","Northwest",0,0.71
2020-08-07,"BC","Vancouver Coastal","All",20,11.71
2020-08-07,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",4,2.57
2020-08-07,"BC","Vancouver Coastal","Richmond",2,1.29
2020-08-07,"BC","Vancouver Coastal","Unknown",0,0.14
2020-08-07,"BC","Vancouver Coastal","Vancouver",14,7.71
2020-08-07,"BC","Vancouver Island","All",0,0.43
2020-08-07,"BC","Vancouver Island","Central Vancouver Island",0,0.43
2020-08-07,"BC","Vancouver Island","North Vancouver Island",0,0
2020-08-07,"BC","Vancouver Island","South Vancouver Island",0,0
2020-08-07,"BC","Vancouver Island","Unknown",0,0
2020-08-07,"Out of Canada","Out of Canada","Out of Canada",0,0.86
2020-08-08,"BC","All","All",38,42.43
2020-08-08,"BC","Fraser","All",19,26.29
2020-08-08,"BC","Fraser","Fraser East",6,4.71
2020-08-08,"BC","Fraser","Fraser North",4,6.43
2020-08-08,"BC","Fraser","Fraser South",9,15
2020-08-08,"BC","Fraser","Unknown",0,0.14
2020-08-08,"BC","Interior","All",0,2.29
2020-08-08,"BC","Interior","East Kootenay",0,0.14
2020-08-08,"BC","Interior","Kootenay Boundary",0,0
2020-08-08,"BC","Interior","Okanagan",0,2.14
2020-08-08,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-08-08,"BC","Northern","All",1,0.43
2020-08-08,"BC","Northern","Northeast",0,0
2020-08-08,"BC","Northern","Northern Interior",0,0
2020-08-08,"BC","Northern","Northwest",1,0.43
2020-08-08,"BC","Vancouver Coastal","All",17,12.86
2020-08-08,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",2,2.57
2020-08-08,"BC","Vancouver Coastal","Richmond",1,1.43
2020-08-08,"BC","Vancouver Coastal","Unknown",0,0.14
2020-08-08,"BC","Vancouver Coastal","Vancouver",14,8.71
2020-08-08,"BC","Vancouver Island","All",1,0.57
2020-08-08,"BC","Vancouver Island","Central Vancouver Island",0,0.43
2020-08-08,"BC","Vancouver Island","North Vancouver Island",1,0.14
2020-08-08,"BC","Vancouver Island","South Vancouver Island",0,0
2020-08-08,"BC","Vancouver Island","Unknown",0,0
2020-08-08,"Out of Canada","Out of Canada","Out of Canada",0,0.86
2020-08-09,"BC","All","All",42,41.57
2020-08-09,"BC","Fraser","All",21,24.14
2020-08-09,"BC","Fraser","Fraser East",1,3.57
2020-08-09,"BC","Fraser","Fraser North",9,6.43
2020-08-09,"BC","Fraser","Fraser South",11,14
2020-08-09,"BC","Fraser","Unknown",0,0.14
2020-08-09,"BC","Interior","All",1,1.86
2020-08-09,"BC","Interior","East Kootenay",0,0.14
2020-08-09,"BC","Interior","Kootenay Boundary",0,0
2020-08-09,"BC","Interior","Okanagan",1,1.71
2020-08-09,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-08-09,"BC","Northern","All",2,0.71
2020-08-09,"BC","Northern","Northeast",2,0.29
2020-08-09,"BC","Northern","Northern Interior",0,0
2020-08-09,"BC","Northern","Northwest",0,0.43
2020-08-09,"BC","Vancouver Coastal","All",18,14.57
2020-08-09,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",3,2.71
2020-08-09,"BC","Vancouver Coastal","Richmond",0,1.43
2020-08-09,"BC","Vancouver Coastal","Unknown",1,0.29
2020-08-09,"BC","Vancouver Coastal","Vancouver",14,10.14
2020-08-09,"BC","Vancouver Island","All",0,0.29
2020-08-09,"BC","Vancouver Island","Central Vancouver Island",0,0.14
2020-08-09,"BC","Vancouver Island","North Vancouver Island",0,0.14
2020-08-09,"BC","Vancouver Island","South Vancouver Island",0,0
2020-08-09,"BC","Vancouver Island","Unknown",0,0
2020-08-09,"Out of Canada","Out of Canada","Out of Canada",2,1.14
2020-08-10,"BC","All","All",46,44.29
2020-08-10,"BC","Fraser","All",26,24.86
2020-08-10,"BC","Fraser","Fraser East",1,3.14
2020-08-10,"BC","Fraser","Fraser North",12,7.71
2020-08-10,"BC","Fraser","Fraser South",13,13.86
2020-08-10,"BC","Fraser","Unknown",0,0.14
2020-08-10,"BC","Interior","All",3,1.86
2020-08-10,"BC","Interior","East Kootenay",0,0.14
2020-08-10,"BC","Interior","Kootenay Boundary",0,0
2020-08-10,"BC","Interior","Okanagan",2,1.57
2020-08-10,"BC","Interior","Thompson Cariboo Shuswap",1,0.14
2020-08-10,"BC","Northern","All",4,1.29
