place,province,lat,long,violation,sanction,fine_certainty,fine_value,number_of_charges_or_violations,number_of_people,individual_business,report_month,acting_agency,legislation,known_demographic,event_desc,event_url,other_event_url
"banff, alberta",ab,51.1784,-115.5708,"non-essential travel to canada, after entering using the ""alaskan loophole""","two infractions, two charges, one fine $1200, one fine of up to $750,000",yes,1200,1,1,individual,august,banff rcmp,federal quarantine act,"john pennington, 40-year-old man from kentucky",a man travelling from alaska to the continental united states has been charged with violating canada's quarantine act amid accusations that he failed to follow covid-19 public safety rules while in banff  not just once but twice,https://calgaryherald.com/news/local-news/kentucky-man-faces-750k-fine-for-breaking-quarantine-rules-by-detouring-to-banff,https://www.cbc.ca/news/canada/calgary/u-s-man-charged-with-breaching-pandemic-rules-1.5692421
"winnipeg, manitoba",mb,49.81687,-97.19183,breaking public health orders,ticket $486,yes,486,1,1,business,august,unspecified,public health act,cafe and hookah lounge,layla's was issued a $486 ticket for failing to comply with special measures ordered by the chief public health officer,https://winnipeg.ctvnews.ca/another-winnipeg-restaurant-fined-over-alleged-covid-19-violations-1.5071628,
"north slave region, northwest territories",nwt,65.34,-110.531667,failing to self-isolate after returning from out of the territory,fine $1725,yes,1725,1,1,individual,august,public health,public health act,not specified,one person is fined for failing to self-isolate upon returning from out of the territory,https://cabinradio.ca/43750/news/health/coronavirus/one-person-fined-for-troubling-nwt-self-isolation-violation/,
"brampton, ontario",on,43.7315,-79.7624,failing to wear a mask,tickets issued,yes,880,9,9,individual,august,brampton bylaw officers,municipal bylaws,not specified,nine people were issued tickets for failing to wear a mask,https://www.bramptonguardian.com/news-story/10142161-mask-violators-and-partiers-among-brampton-s-recent-covid-19-fine-recipients/,
"brampton, ontario",on,43.7315,-79.7624,residential gathering,"charges laid, fine of not more than $100,000 and for a term of imprisonment of not more than one yea",yes,NA,9,9,individual,july,brampton bylaw officers,reopening ontario act,not specified,9 charges were retroactively laid for an illegal residential gathering during stage 2,https://www.bramptonguardian.com/news-story/10142161-mask-violators-and-partiers-among-brampton-s-recent-covid-19-fine-recipients/,
"victoria, british columbia",bc,48.422968,-123.34898,hosting a party with 40-60 people in attendance,fine $2300,yes,2300,1,1,individual,august,victoria police department,covid-19 related measures act,many attendees were youth,a party host was fined after holding a gathering of 40-60 in a one-bedroom apt where people could not physically distance,https://globalnews.ca/news/7292909/victoria-party-host-fined-coronavirus/,
"victoria, british columbia",bc,48.422968,-123.34898,"gathering of 15 people in a 1-bedroom apt, òabusive or belligerent behaviour at a social gatheringó","arrested for obstructing a peace officer, fined $230",yes,NA,1,1,individual,august,victoria police department,covid-19 related measures act (crma),not specified,"victoria police arrested a man and issued a second fine early sunday morning at the same apartment where officers had already doled out a $2,300 penalty to hosts of a party that broke covid-19 regulations this weekend",https://globalnews.ca/news/7293867/victoria-party-second-covid-fine/,
"richmond, british columbia",bc,49.171616,-123.067912,"allowing more customers than 50-person limit, failing to encourage physical distancing, sanitization, and contact tracing",fine $2300,yes,2300,1,1,business,august,richmond rcmp,covid-19 related measures act,sports centre,"richmond 'sports centre' ordered to pay $2,300 for breaking health rules",https://bc.ctvnews.ca/covid-19-fines-richmond-sports-centre-ordered-to-pay-2-300-for-breaking-health-rules-1.5077344,
"montreal, quebec",qc,45.493726,-73.557488,"flouting covid-19 regulations for months, including allegations employees were force to work after testing positive for covid-19","restaurant permit temporarily suspended in advance of hearing, restaurant was under surveillance",no,NA,1,1,business,august,"service de police de la ville de montral, rgie des alcools, des courses et des jeux",public health act,italian pizzeria,griffintown pizzeria closed temporarily because of covid-19 concerns,https://montrealgazette.com/news/local-news/griffintown-pizzeria-closed-temporarily-because-of-covid-19-concerns,
"surrey, british columbia",bc,49.1913,-122.849,contravening health officials' orders not to gather groups,fined $2300,yes,2300,4,4,business,august,surrey rcmp,health protection act,"1 restaurant, 2 event and banquet spaces, 1 after hours club",four surrey businesses have been ticketed by police for breaking covid-19 rules around crowd limits set by b.c.s provincial health officer,https://www.thecragandcanyon.ca/news/local-news/covid-19-fines-issued-canucks-fans-warned-over-crowd-limit-compliance/wcm/c46e7b26-cc9b-4980-96e6-96db5f0823a5?video_autoplay=true,
